(1514984400000,[(5a4e76657c459f29e79b21da,1758), (5a4c35f07c459f246b63d98e,799), (5a4e76a07c459f29e79b223a,693)])
(1514988000000,[(5a4e76657c459f29e79b21da,1847), (5a4c35f07c459f246b63d98e,799), (5a4e76a07c459f29e79b223a,721)])
(1514991600000,[(5a4e76657c459f29e79b21da,1965), (5a4e76a07c459f29e79b223a,766), (5a4c35f07c459f246b63d98e,704)])
(1514995200000,[(5a4e76657c459f29e79b21da,2050), (5a4e76a07c459f29e79b223a,808), (5a4e76527c459f29e79b21ba,595)])
(1514998800000,[(5a4e76657c459f29e79b21da,2127), (5a4e76a07c459f29e79b223a,832), (5a4e76527c459f29e79b21ba,604)])
(1515002400000,[(5a4e76657c459f29e79b21da,2175), (5a4e76a07c459f29e79b223a,849), (5a4e76e67c459f29e79b22ba,603)])
(1515006000000,[(5a4e76657c459f29e79b21da,2181), (5a4e76a07c459f29e79b223a,867), (5a4e76e67c459f29e79b22ba,652)])
(1515009600000,[(5a4e76657c459f29e79b21da,1774), (5a4e76a07c459f29e79b223a,880), (5a4e76e67c459f29e79b22ba,683)])
(1515013200000,[(5a4e76657c459f29e79b21da,1556), (5a4e76a07c459f29e79b223a,890), (5a4e76e67c459f29e79b22ba,725)])
(1515016800000,[(5a4e76657c459f29e79b21da,1343), (5a4e76a07c459f29e79b223a,760), (5a4e76e67c459f29e79b22ba,751)])
(1515020400000,[(5a4e76657c459f29e79b21da,1148), (5a4e76e67c459f29e79b22ba,783), (5a4e76a07c459f29e79b223a,598)])
(1515024000000,[(5a4e76657c459f29e79b21da,1015), (5a4e76e67c459f29e79b22ba,809), (5a4e77e77c459f29e79b250b,553)])
(1515027600000,[(5a4e76657c459f29e79b21da,903), (5a4e76e67c459f29e79b22ba,828), (5a4e77e77c459f29e79b250b,607)])
(1515031200000,[(5a4e76657c459f29e79b21da,839), (5a4e76e67c459f29e79b22ba,794), (5a4e77e77c459f29e79b250b,638)])
(1515034800000,[(5a4e76657c459f29e79b21da,762), (5a4e76e67c459f29e79b22ba,758), (5a4e77e77c459f29e79b250b,655)])
(1515038400000,[(5a4e76e67c459f29e79b22ba,721), (5a4e76657c459f29e79b21da,720), (5a4e77e77c459f29e79b250b,676)])
(1515042000000,[(5a4e76657c459f29e79b21da,720), (5a4e76e67c459f29e79b22ba,695), (5a4e77e77c459f29e79b250b,686)])
(1515045600000,[(5a4e76657c459f29e79b21da,720), (5a4e77e77c459f29e79b250b,694), (5a4e76e67c459f29e79b22ba,679)])
(1515049200000,[(5a4e76657c459f29e79b21da,718), (5a4e77e77c459f29e79b250b,703), (5a4e76e67c459f29e79b22ba,665)])
(1515052800000,[(5a4e77e77c459f29e79b250b,710), (5a4e76657c459f29e79b21da,702), (5a4e76e67c459f29e79b22ba,658)])
(1515056400000,[(5a4e77e77c459f29e79b250b,718), (5a4e76657c459f29e79b21da,679), (5a4e76e67c459f29e79b22ba,647)])
(1515060000000,[(5a4e77e77c459f29e79b250b,722), (5a4e76657c459f29e79b21da,660), (5a4e76e67c459f29e79b22ba,631)])
