(1519344000000,[(5a944d5210f40f00018c31ed,1404), (5a8ec1a510f40f00018c2684,1352), (5a90267b10f40f00018c2a61,1290)])
(1519430400000,[(5a944d5210f40f00018c31ed,1404), (5a95ceb810f40f00018c35ce,1255), (5a91b0e310f40f00018c2d85,1120)])
(1519516800000,[(5a944d5210f40f00018c31ed,1404), (5a95ceb810f40f00018c35ce,1255), (5a95bfb810f40f00018c35a3,1116)])
(1519603200000,[(5a944d5210f40f00018c31ed,1404), (5a95ceb810f40f00018c35ce,1255), (5a95bfb810f40f00018c35a3,1116)])
(1519689600000,[(5a944d5210f40f00018c31ed,1367), (5a95ceb810f40f00018c35ce,1255), (5a95bfb810f40f00018c35a3,1116)])
(1519776000000,[(5a95ceb810f40f00018c35ce,760), (5a95bfb810f40f00018c35a3,756), (5a95efe810f40f00018c3633,393)])
(1519862400000,[(5a94e9b210f40f00018c334e,135), (5a93e8c210f40f00018c30b4,122), (5a8fe63410f40f00018c2971,101)])
(1519948800000,[(5a94e9b210f40f00018c334e,117), (5a93e8c210f40f00018c30b4,84), (5a8fe63410f40f00018c2971,71)])
(1520035200000,[(5a94e9b210f40f00018c334e,86), (5a93e8c210f40f00018c30b4,75), (5a90494210f40f00018c2afb,71)])
(1520121600000,[(5a90494210f40f00018c2afb,71), (5a93e8c210f40f00018c30b4,60), (5a8e94b810f40f00018c25ec,58)])
(1520208000000,[(5a90494210f40f00018c2afb,70), (5a8e94b810f40f00018c25ec,58), (5a8fe63410f40f00018c2971,42)])
(1520294400000,[(5a8e94b810f40f00018c25ec,44), (5a90494210f40f00018c2afb,41), (5a8fe63410f40f00018c2971,37)])
(1520380800000,[(5a8e94b810f40f00018c25ec,28), (5a8d8bf810f40f00018c2349,25), (5a93e8c210f40f00018c30b4,21)])
(1520467200000,[(5a8d8bf810f40f00018c2349,25), (5a8e94b810f40f00018c25ec,18), (5a90494210f40f00018c2afb,16)])
(1520553600000,[(5a8bd63e10f40f00018c1ea9,27), (5a85e60910f40f00018c140f,11), (5a8c461110f40f00018c1ffe,10)])
(1520640000000,[(5a8bd63e10f40f00018c1ea9,27), (5a94c64c10f40f00018c3313,9), (5a85e60910f40f00018c140f,9)])
(1520726400000,[(5a8bd63e10f40f00018c1ea9,26), (5a8c461110f40f00018c1ffe,8), (5a85e60910f40f00018c140f,8)])
(1520812800000,[(5a8bd63e10f40f00018c1ea9,26), (5a7adc3810f40f00018bff64,8), (5a85e60910f40f00018c140f,8)])
(1520899200000,[(5a8bd63e10f40f00018c1ea9,29), (5a8c461110f40f00018c1ffe,9), (5a93dac310f40f00018c307e,7)])
(1520985600000,[(5a8bd63e10f40f00018c1ea9,27), (5a93dac310f40f00018c307e,6), (5a7adc3810f40f00018bff64,6)])
(1521072000000,[(5a8bd63e10f40f00018c1ea9,22), (5a7adc3810f40f00018bff64,7), (5a93dac310f40f00018c307e,6)])
(1521158400000,[(5a7adc3810f40f00018bff64,7), (5a8416b910f40f00018c0e9b,7), (5a93dac310f40f00018c307e,5)])
