(1515038400000,[(5a4e76e67c459f29e79b22ba,26), (5a4e76a07c459f29e79b223a,22), (5a4e75be7c459f29e79b20c2,15)])
(1515042000000,[(5a4e76a07c459f29e79b223a,24), (5a4e77067c459f29e79b22f7,17), (5a4e76e67c459f29e79b22ba,16)])
(1515045600000,[(5a4e76a07c459f29e79b223a,17), (5a4e76e67c459f29e79b22ba,14), (5a4e75e17c459f29e79b2126,10)])
(1515049200000,[(5a4e76657c459f29e79b21da,16), (5a4e76a07c459f29e79b223a,12), (5a4e76527c459f29e79b21ba,10)])
(1515052800000,[(5a4e76657c459f29e79b21da,23), (5a4e76a07c459f29e79b223a,16), (5a4e76e67c459f29e79b22ba,11)])
(1515056400000,[(5a4e76657c459f29e79b21da,19), (5a4e76e67c459f29e79b22ba,16), (5a4e76a07c459f29e79b223a,10)])
(1515060000000,[(5a4e76657c459f29e79b21da,23), (5a4e76e67c459f29e79b22ba,16), (5a4e76a07c459f29e79b223a,11)])
(1515063600000,[(5a4e76657c459f29e79b21da,34), (5a4e76e67c459f29e79b22ba,26), (5a4e77527c459f29e79b23c2,23)])
(1515067200000,[(5a4e76657c459f29e79b21da,62), (5a4e76e67c459f29e79b22ba,45), (5a4e77527c459f29e79b23c2,37)])
(1515070800000,[(5a4e76657c459f29e79b21da,89), (5a4e76e67c459f29e79b22b8,54), (5a4e76e67c459f29e79b22ba,50)])
(1515074400000,[(5a4e76657c459f29e79b21da,118), (5a4e76e67c459f29e79b22b8,94), (5a4e76e67c459f29e79b22ba,84)])
(1515078000000,[(5a4e76657c459f29e79b21da,85), (5a4e76e67c459f29e79b22b8,67), (5a4e76e67c459f29e79b22ba,66)])
(1515081600000,[(5a4e76657c459f29e79b21da,77), (5a4e76e67c459f29e79b22ba,67), (5a4e76e67c459f29e79b22b8,51)])
(1515085200000,[(5a4e76e67c459f29e79b22ba,52), (5a4e77b37c459f29e79b24a8,52), (5a4e76657c459f29e79b21da,48)])
(1515088800000,[(5a4e77b37c459f29e79b24a8,86), (5a4e76e67c459f29e79b22ba,49), (5a4e76657c459f29e79b21da,49)])
(1515092400000,[(5a4e77e77c459f29e79b250b,204), (5a4e77b37c459f29e79b24a8,51), (5a4e76e67c459f29e79b22ba,31)])
(1515096000000,[(5a4e77e77c459f29e79b250b,122), (5a4e8b2c7c459f29e79b254c,69), (5a4e77b37c459f29e79b24a8,43)])
(1515099600000,[(5a4e77e77c459f29e79b250b,88), (5a4e8b2c7c459f29e79b254c,27), (5a4e76e67c459f29e79b22ba,26)])
(1515103200000,[(5a4e77e77c459f29e79b250b,68), (5a4e76e67c459f29e79b22ba,32), (5a4e77b97c459f29e79b24b9,28)])
(1515106800000,[(5a4e77e77c459f29e79b250b,59), (5a4e77b97c459f29e79b24b9,36), (5a4e8b2c7c459f29e79b254c,29)])
(1515110400000,[(5a4e77e77c459f29e79b250b,54), (5a4e8b2c7c459f29e79b254c,20), (5a4e966c7c459f29e79b2567,19)])
(1515114000000,[(5a4ea68b7c459f29e79b258b,91), (5a4e77e77c459f29e79b250b,31), (5a4e966c7c459f29e79b2567,23)])
